Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice
+,BG-1,Notice,-,No,Basic information about the notice.,M,---,,4,1
++,BT-701,    Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,4,1
++,BT-757,    Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,4,1
++,BT-01,    Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,4,1
++,BT-03,    Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,4,1
++,BT-02,    Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,4,1
++,BT-05,    Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),4,1
++,BT-738,    Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,4,1
++,BT-702,    Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,4,1
+,BG-125,Previous Planning,-,Yes,"Information about a prior information notice or another similar notice related to this notice. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,4,1
++,BT-1371,    Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,4,1
++,BT-125,    Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,4,1
++,BT-1251,    Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,4,1
+,BG-703,Organisation,-,Yes,"Information about the organisation. This information may differ per lot, per contract, per tender, etc. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,4,1
++,BT-13720,    Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,4,1
++,BT-500,    Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name ,4,1
++,BT-501,    Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number ,4,1
++,BT-16,    Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,4,1
++,BT-510,    Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,4,1
++,BT-513,    Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,4,1
++,BT-512,    Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code ,4,1
++,BT-507,    Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,4,1
++,BT-514,    Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,4,1
++,BT-502,    Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,4,1
++,BT-506,    Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,4,1
++,BT-503,    Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,4,1
++,BT-739,    Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,4,1
++,BT-505,    Organisation Internet Address,URL,No,The website of the organisation.,EM,I.1.12.1,Main address,4,1
++,BT-509,    Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,4,1
++,BT-633,    Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,4,1
++,BT-08,    Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,4,1
++,BT-770,    Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,4,1
++,BG-3,    Buyer,-,No,Additional information about the buyer.,CM,---,,4,1
+++,BT-508,        Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,I.1.12.2,Address of the buyer profile,4,1
+++,BT-11,        Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",M,I.4,Type of the contracting authority,4,1
+++,BT-10,        Activity Authority,Code,No,The main activity of the contracting authority.,M,I.5,Main activity,4,1
++,BG-4,    Winner,-,No,"Additional information about the winner, tenderer or subcontractor.",,---,,4,1
++,BG-715,    Review Body,-,No,Additional information about the review body.,,---,,4,1
+,BG-2,Purpose,-,Yes,"Information about the purpose. This information must be given for the whole procurement procedure and, if they exist, also per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,4,1
++,BT-137,    Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,4,1
++,BT-22,    Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,4,1
++,BT-23,    Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract   ,4,1
++,BT-531,    Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,4,1
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,4,1
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,4,1
++,BT-24,    Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.1.4,Short description,4,1
++,BT-24,    Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement,4,1
++,BT-27,    Estimated Value,Value,No,"The estimated maximum value of the procurement procedure or lot. Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement or a dynamic purchasing system, over their whole duration, including options and renewals.",O,II.1.5.1,Value excluding VAT,4,1
++,BG-557,    Group Framework Estimated Maximum Value,-,Yes,Information about the estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots).,O,---,,4,1
+++,BT-557,        Group Framework Estimated Maximum Value Lot Identifier,Identifier,Yes,Identifiers of lots. These lots form a group whose estimated maximum value is lower than the sum of individual estimated maximum values of all the lots together (e.g. when the same budget is shared for several lots).,O,new term overall,,4,1
+++,BT-157,        Group Framework Estimated Maximum Value,Value,No,"The estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots). Estimated refers to estimation at the time of launching the call for competition. Maximum value means a value covering all contracts to be awarded within a framework agreement over its whole duration, including options and renewals.",O,new term overall,,4,1
