ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice,XPATH
BG-707,Award Criteria,-,Yes,Information about the award criteria. This information may differ per lot.,O,IV.1,Award criteria,22,19,
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,1,8,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,10,1,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,11,4,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,12,21,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,15,7,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,16,2,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,17,5,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,18,17,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,19,24,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
