Name,eformsNotice,sfNotice,eforms_xpath,BT,sfLevel,BG_lvl1,BG_lvl2,BG_lvl3,guidance,status,comments
Procedure Legal Basis,1,8,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain,BT-01,new term overall,BG-1,,,,,
Notice Type,1,8,/*/cbc:NoticeTypeCode,BT-02,new term overall,BG-1,,,,,
Form Type,1,8,/*/cbc:NoticeTypeCode/@listName,BT-03,new term overall,BG-1,,,,,
Notice Dispatch Date,1,8,/*/cbc:IssueDate;/*/cbc:IssueTime,BT-05,new term,BG-1,,,,,
Notice Identifier,1,8,/*/cbc:ID,BT-701,new term overall,BG-1,,,,,
Notice Official Language,1,8,/*/cac:AdditionalNoticeLanguage/cbc:ID;/*/cbc:NoticeLanguageCode,BT-702,new term overall,BG-1,,,,,
Notice Publication Date Preferred,1,8,/*/cbc:RequestedPublicationDate,BT-738,new term overall,BG-1,,,,,
Notice Version,1,8,/*/cbc:VersionID,BT-757,new term overall,BG-1,,,,,
Tool Atypical URL,1,8,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cbc:AccessToolURI,BT-124,I.3.5,BG-100,,,Map to `tender.communication.atypicalToolUrl`,imported_from_sf,
Tool Name,1,8,/*/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:AccessToolName,BT-632,new term overall,BG-100,,,,,
Tool Atypical,1,8,,BT-724,new term overall,BG-100,,,,,
Additional Information Deadline,1,8,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndDate;/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndTime,BT-13,new term,BG-101,,,,,
Documents Restricted,1,8,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:DocumentType[./text()='restricted-document'],BT-14,new term,BG-101,,,,,
Documents URL,1,8,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[not(cbc:DocumentType/text()='restricted-document')]/cac:Attachment/cac:ExternalReference/cbc:URI,BT-15,I.3.1,BG-101,,,"Discard. If no `ParticipationFee` object in the `tender.participationFees` array has a `.type` of 'document', then access is unrestricted.",imported_from_sf,
Documents Restricted URL,1,8,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[cbc:DocumentType/text()='restricted-document']/cac:Attachment/cac:ExternalReference/cbc:URI,BT-615,I.3.2,BG-101,,,"Add a `ParticipationFee` object to the `tender.participationFees` array, set its `.type` to 'document', and set its `.id` to '1'.",imported_from_sf,
Documents Restricted Justification,1,8,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[cbc:DocumentType/text()='restricted-document']/cbc:DocumentTypeCode,BT-707,new term overall,BG-101,,,,,
Documents Official Language,1,8,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:LanguageID,BT-708,new term overall,BG-101,,,,,
Documents Unofficial Language,1,8,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:LanguageID[../cbc:DocumentStatusCode/text()='non-official'],BT-737,new term overall,BG-101,,,,,
Previous Planning Identifier,1,8,/*/cac:ProcurementProjectLot/cac:NoticeDocumentReference/cbc:ID;/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:VersionID,BT-125,new term,BG-125,,,,,
Previous Planning Part Identifier,1,8,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:ReferencedDocumentInternalAddress,BT-1251,new term overall,BG-125,,,,,
Previous Planning Lot Identifier,1,8,,BT-1371,new term overall,BG-125,,,,,
Title,1,8,/*/cac:ProcurementProject/cbc:Name;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Name,BT-21,II.1.1,BG-2,,,Map to `tender.title`,imported_from_sf,
Internal Identifier,1,8,/*/cac:ProcurementProject/cbc:ID;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ID,BT-22,II.1.1.1,BG-2,,,"If not set, let *Reference number* be equal to the `ocid` value. Map to `tender.id` (string).",imported_from_sf,
Main Nature,1,8,/*/cac:ProcurementProject/cbc:ProcurementTypeCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature'],BT-23,II.1.3,BG-2,,,Set `tender.mainProcurementCategory` as follows:,imported_from_sf,
Description,1,8,/*/cac:ProcurementProject/cbc:Description;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Description,BT-24,II.2.4,BG-2,,,"Map to the lot's `.description`\n\n**F12, F13**: Instead, map to `tender.description`",imported_from_sf,
Additional Nature,1,8,/*/cac:ProcurementProject/cbc:ProcurementAdditionalType/cbc:ProcurementTypeCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='contract-nature'],BT-531,new term,BG-2,,,,,
Classification Type,1,8,/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName;/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listname  /*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,BT-26,new term overall,BG-2,BG-261,,,,
Main Classification Code,1,8,/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode,BT-262,II.1.2,BG-2,BG-261,,"Set `tender.classification.scheme` to 'CPV', take the CPV code in the `CODE` attribute, and map to `tender.classification.id`",imported_from_sf,
Additional Classification Codes,1,8,/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode,BT-263,new term overall,BG-2,BG-261,,,,
Duration Period,1,8,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DurationMeasure,BT-36,new term,BG-36,,,,,
Duration Start Date,1,8,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:StartDate,BT-536,new term,BG-36,,,,,
Duration End Date,1,8,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:EndDate,BT-537,new term,BG-36,,,,,
Duration Other,1,8,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DescriptionCode,BT-538,new term,BG-36,,,,,
Organisation Role,1,8,,BT-08,new term overall,BG-703,,,,,
Organisation Notice Section Identifier,1,8,,BT-13720,new term overall,BG-703,,,,,
