,"ID","Name","Datatype","Repeatable","Description","Legal Status","Level","Element","eformsNotice","sfNotice","Form type","eforms_xpath","name"
0,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,30,6,"Result",,
1,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,1,8,"Planning",,
2,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,2,8,"Planning",,
3,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,3,8,"Planning",,
4,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,7,1,"Planning",,
5,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,19,24,"Competition",,
6,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,4,21,"Planning",,
7,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,6,16,"Planning",,
8,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,21,22,"Competition",,
9,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,16,2,"Competition",,
10,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,33,21,"Result",,
11,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,31,18,"Result",,
12,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,25,15,"Direct award prenotification",,
13,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,26,15,"Direct award prenotification",,
14,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,27,15,"Direct award prenotification",,
15,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,28,15,"Direct award prenotification",,
16,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,22,19,"Competition",,
17,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,12,21,"Competition",,
18,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,3,22,"Planning",,
19,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,32,25,"Result",,
20,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,8,4,"Planning",,
21,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,11,4,"Competition",,
22,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,4,1,"Planning",,
23,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,18,17,"Competition",,
24,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,10,1,"Competition",,
25,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,5,22,"Planning",,
26,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,38,20,"Contract modification",,
27,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,39,20,"Contract modification",,
28,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,40,20,"Contract modification",,
29,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,23,12,"Competition",,
30,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,24,12,"Competition",,
31,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,5,4,"Planning",,
32,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,36,13,"Result",,
33,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,37,13,"Result",,
34,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,35,23,"Result",,
35,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,15,7,"Competition",,
36,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,29,3,"Result",,
37,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,34,21,"Result",,
38,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,20,21,"Competition",,
39,"BG-1","Notice","-","No","Basic information about the notice.","M","---",,17,5,"Competition",,
40,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,30,6,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
41,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,19,24,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
42,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,21,22,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
43,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,16,2,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
44,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,33,21,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
45,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,31,18,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
46,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,25,15,"Direct award prenotification","/*/cbc:ContractFolderID","Procedure Identifier"
