Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,2019 form,2015 form
++,BT-701,Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,4,1
++,BT-757,Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,4,1
++,BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,4,1
++,BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,4,1
++,BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,4,1
++,BT-05,Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),4,1
++,BT-738,Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,4,1
++,BT-702,Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,4,1
++,BT-1371,Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,4,1
++,BT-125,Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,4,1
++,BT-1251,Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,4,1
++,BT-13720,Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,4,1
++,BT-500,Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name,4,1
++,BT-501,Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number,4,1
++,BT-16,Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,4,1
++,BT-510,Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,4,1
++,BT-513,Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,4,1
++,BT-512,Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code,4,1
++,BT-507,Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,4,1
++,BT-514,Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,4,1
++,BT-502,Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,4,1
++,BT-506,Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,4,1
