id,id,Name,eformsNotice,sfNotice,legal_status,eforms_xpath,BT,bt_description,bt_datatype,sfLevel,guidance,status,comments
0,0,Procedure Legal Basis,1,8,M,['/*/cbc:RegulatoryDomain'],BT-01,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",Code,new term overall,"Set `tender.legalBasis.scheme` to ['CELEX'](https://eur-lex.europa.eu/content/help/faq/intro.html#help8), and map to `tender.legalBasis.id`",done and spread,Closed: https://github.com/open-contracting/european-union-support/issues/53
1,1,Notice Type,1,8,M,['/*/cbc:NoticeTypeCode'],BT-02,The type of notice according to procurement legislation.,Code,new term overall,Discard.,done and spread,
2,2,Form Type,1,8,M,['/*/cbc:NoticeTypeCode/@listName'],BT-03,The type of form according to procurement legislation.,Code,new term overall,"Add 'planning' to tag, and set `tender.status` to 'planned'",done and spread,
3,3,Notice Dispatch Date,1,8,M,"['/*/cbc:IssueDate', '/*/cbc:IssueTime']",BT-05,The date and time when the notice has been sent to TED.,Date,new term,"Combine the date and time into [a valid date time](https://standard.open-contracting.org/latest/en/schema/reference/?highlight=dates#date), and map to the release's `date`",done and spread,
4,4,Notice Identifier,1,8,M,['/*/cbc:ID'],BT-701,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",Identifier,new term overall,Refer to the **guidance for common operations (create a new release)**.,done and spread,
5,5,Notice Official Language,1,8,M,"['/*/cac:AdditionalNoticeLanguage/cbc:ID', '/*/cbc:NoticeLanguageCode']",BT-702,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,Code,new term overall,"Lowercase `/*/cbc:NoticeLanguageCode`, and map to `language`.\n\nDiscard `/*/cac:AdditionalNoticeLanguage/cbc:ID`.",done and spread,
6,6,Notice Publication Date Preferred,1,8,O,['/*/cbc:RequestedPublicationDate'],BT-738,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,Date,new term overall,"[Format the date](common-operations), and map to `tender.communication.noticeRequestedPublicationDate`.",done and spread,https://github.com/open-contracting/european-union-support/issues/55
7,7,Notice Version,1,8,M,['/*/cbc:VersionID'],BT-757,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",Identifier,new term overall,Discard.,done and spread,
8,8,Tool Atypical URL,1,8,O,['/*/cac:ProcurementProjectLot/cac:TenderingProcess/cbc:AccessToolURI'],BT-124,Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.,URL,I.3.5,Map to the lot's `.communication.atypicalToolUrl`,done and spread,
9,9,Tool Name,1,8,O,['/*/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:AccessToolName'],BT-632,The name of the electronic tool or device used for electronic communication.,Text,new term overall,Map to the lot's `.communication.atypicalToolName`,done and spread,https://github.com/open-contracting/european-union-support/issues/55
10,10,Tool Atypical,1,8,O,[''],BT-724,Electronic communication requires the use of tools and devices that are not generally available.,Indicator,new term overall,"Discard. If `tender.communication.atypicalToolName` or the lot's `.communication.atypicalToolName` are not null, then the procedure requires an atypical tool.",done and spread,https://github.com/open-contracting/european-union-support/issues/49#issuecomment-898938192
11,11,Additional Information Deadline,1,8,O,"['/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndTime', '/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:AdditionalInformationRequestPeriod/cbc:EndDate']",BT-13,The time limit for requesting additional information about the procurement procedure.,Date,new term,"Combine the date and time into [a valid date time](https://standard.open-contracting.org/latest/en/schema/reference/?highlight=dates#date), and map to the lot's `.enquiryPeriod.endDate`.",done and spread,
12,12,Documents Restricted,1,8,O,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:DocumentType[./text()='restricted-document']""]",BT-14,The access to certain procurement documents is restricted.,Indicator,new term,"Add a `ParticipationFee` object to the lot's `.participationFees` array, set its `.type` to 'document', and map `cac:CallForTendersDocumentReference/cdc:ID` to its `.id`.",done and spread,
13,13,Documents URL,1,8,O,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[not(cbc:DocumentType/text()='restricted-document')]/cac:Attachment/cac:ExternalReference/cbc:URI""]",BT-15,"The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.",URL,I.3.1,"Map to the party's `.contactPoint.url`. If there is no URL scheme, prefix by 'http://'.",done and spread,"For all notices except prior information notices, the address must give access that is direct."
14,14,Documents Restricted URL,1,8,O,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[cbc:DocumentType/text()='restricted-document']/cac:Attachment/cac:ExternalReference/cbc:URI""]",BT-615,The internet address with information on accessing the restricted (part of the) procurement documents.,URL,I.3.2,Map to the `ParticipationFee` object's `.description`.,done and spread,
15,15,Documents Restricted Justification,1,8,O,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference[cbc:DocumentType/text()='restricted-document']/cbc:DocumentTypeCode""]",BT-707,The justification for restricting access to certain procurement documents.,Code,new term overall,Map to the `ParticipationFee` object's `.description`.,done and spread,
16,16,Documents Official Language,1,8,O,['/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:LanguageID'],BT-708,The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.,Code,new term overall,Lowercase and convert the code into a two-letter [ISO 639-1 code](https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes). Add it to the document's `.languages` array.,done and spread,https://github.com/open-contracting/european-union-supporthttps://en.wikipedia.org/wiki/List_of_ISO_639-1_codes)/issues/55
17,17,Documents Unofficial Language,1,8,O,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:LanguageID[../cbc:DocumentStatusCode/text()='non-official']""]",BT-737,"The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.",Code,new term overall,Set the document's `.unofficialTranslation` to `true`,done and spread,https://github.com/open-contracting/european-union-support/issues/55
18,18,Previous Planning Identifier,1,8,O,"['/*/cac:ProcurementProjectLot/cac:NoticeDocumentReference/cbc:ID', '/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:VersionID']",BT-125,The identifier of a prior information notice or another similar notice related to this notice.,Identifier,new term,[Reference a previous publication](../../operations/#reference-a-previous-publication),done and spread,https://github.com/open-contracting/european-union-support/issues/54
19,19,Previous Planning Part Identifier,1,8,O,['/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:ReferencedDocumentInternalAddress'],BT-1251,The identifier of a part of a prior information notice or another similar notice related to this notice.,Identifier,new term overall,"[Reference a previous publication](../../operations/#reference-a-previous-publication), and map to `.lotId`.",done and spread,https://github.com/open-contracting/european-union-support/issues/54
20,20,Previous Planning Lot Identifier,1,8,M,[''],BT-1371,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",Identifier,new term overall,[Reference a previous publication](../../operations/#reference-a-previous-publication),done and spread,https://github.com/open-contracting/european-union-support/issues/54
21,21,Title,1,8,M,"['/*/cac:ProcurementProject/cbc:Name', '/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Name']",BT-21,The name of the procurement procedure or lot.,Text,II.1.1,Map to `tender.title` (`/*/cac:ProcurementProject`) or the lot's `.title` (`/*/cac:ProcurementProjectLot`),done (spread from notice 10),
22,22,Internal Identifier,1,8,O,"['/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ID', '/*/cac:ProcurementProject/cbc:ID']",BT-22,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,Text,II.1.1.1,Map to the lot's `.description`,done and spread,
23,23,Main Nature,1,8,M,"[""/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature']"", '/*/cac:ProcurementProject/cbc:ProcurementTypeCode']",BT-23,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",Code,II.1.3,"If different from 'combined', map to the lot's `.mainProcurementCategory`. Otherwise, add 'combined' to the lot's `.additionalProcurementCategories` array.",done and spread,https://github.com/open-contracting/european-union-support/issues/56;https://github.com/open-contracting/european-union-support/issues/58
24,24,Description,1,8,M,"['/*/cac:ProcurementProject/cbc:Description', '/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Description']",BT-24,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",Text,II.2.4,Map `/*/cac:ProcurementProject/cbc:Description` to `tender.description`.\n\nMap `/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Description` to the lot's `.description`.,done and spread,https://github.com/open-contracting/european-union-support/issues/57
25,25,Additional Nature,1,8,M,"[""/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='contract-nature']"", '/*/cac:ProcurementProject/cbc:ProcurementAdditionalType/cbc:ProcurementTypeCode']",BT-531,"The nature (e.g. services) of what is being bought, additional to Main Nature.",Code,new term,Add to the lot's `.additionalProcurementCategories`,done and spread,https://github.com/open-contracting/european-union-support/issues/56;https://github.com/open-contracting/european-union-support/issues/58
26,26,Classification Type,1,8,M,"['/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName', '/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listname  /*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName', '/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName']",BT-26,The type of classification describing the purchase (e.g. the common procurement vocabulary).,Code,new term overall,"Capitalize, and map to the item's `.classification.scheme`.",done and spread,
27,27,Main Classification Code,1,8,M,"['/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode', '/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode']",BT-262,The code from the classification that best characterizes the purchase.,Code,II.1.2,Map to the item's `.classification.id`.,done and spread,
28,28,Additional Classification Codes,1,8,O,"['/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode', '/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode']",BT-263,An additional code from the classification that also characterize the purchase.,Code,new term overall,"For each `cac:AdditionalCommodityClassification/cbc:ItemClassificationCode`, add a Classification object to the item's `.additionalClassifications` array. Map to its `.id`, capitalize `@listName` and map to the classification's `.scheme`.",done and spread,
29,29,Duration Period,1,8,O,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DurationMeasure'],BT-36,"The (estimated) period from the start to the end of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals.",Duration,new term,"If `@unitCode` is set to 'DAY', map to the lot's `.contractPeriod.durationInDays`.\n\nIf `@unitCode` is set to 'MONTH', multiply by 30. If `@unitCode` is set to 'YEAR', multiply by 365. In either case, map the result to the lot's `.contractPeriod.durationInDays`.",done and spread,https://github.com/open-contracting/european-union-support/issues/58
30,30,Duration Start Date,1,8,O,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:StartDate'],BT-536,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will start.",Date,new term,"[Format the date](common-operations), and map to the lot's `.contractPeriod.startDate`.",done and spread,https://github.com/open-contracting/european-union-support/issues/58
31,31,Duration End Date,1,8,O,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:EndDate'],BT-537,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will finish.",Date,new term,"[Format the date](common-operations), and map to the lot's `.contractPeriod.endDate`.",done and spread,https://github.com/open-contracting/european-union-support/issues/58
32,32,Duration Other,1,8,O,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DescriptionCode'],BT-538,"The duration is unknown, unlimited, etc.",Code,new term,Map to the lot's `.contractPeriod.other`,done and spread,https://github.com/open-contracting/european-union-support/issues/58;https://github.com/open-contracting/european-union-support/issues/70
33,33,Organisation Role,1,8,M,[''],BT-08,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",Code,new term overall,"[Create a new party](common-operations), map the code according to the [organisation role mapping table], and add it to the party's `.roles` array.",done and spread,https://github.com/open-contracting/european-union-support/issues/59
34,34,Organisation Notice Section Identifier,1,8,M,[''],BT-13720,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,Identifier,new term overall,No guidance. Relationships are either implied by the XML structure or explicit via references from a section to the organization.,done and spread,
