Form type,Notice number,Related article,Directive,Notice type,Definition,Notice description
Planning,1,Art. 48(1) of Directive 2014/24/EU,Directive 2014/24/EU,Notice of the publication of a prior information notice or a periodic information notice on a buyer profile,"Announcement of intentions of planned procurements.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Notice of the publication of a prior information notice on a buyer profile — general directive
Planning,2,Art. 67(1) of Directive 2014/25/EU,Directive 2014/25/EU,Notice of the publication of a prior information notice or a periodic information notice on a buyer profile,"Announcement of intentions of planned procurements.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Notice of the publication of a periodic indicative notice on a buyer profile — sectoral directive
Planning,3,Art. 30(1) third subparagraph of Directive 2009/81/EC,Directive 2009/81/EC,Notice of the publication of a prior information notice or a periodic information notice on a buyer profile,"Announcement of intentions of planned procurements.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Notice of the publication of a prior information notice on a buyer profile — defence directive
Planning,4,Art. 48(1) of Directive 2014/24/EU,Directive 2014/24/EU,Prior information notice or a periodic indicative notice used only for information,"Announcement of intentions of planned procurements for information purposes.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Prior information notice used only for information — general directive
Planning,5,Art. 67(1) of Directive 2014/25/EU,Directive 2014/25/EU,Prior information notice or a periodic indicative notice used only for information,"Announcement of intentions of planned procurements for information purposes.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Periodic indicative notice used only for information — sectoral directive
Planning,6,Art. 30(1) of Directive 2009/81/EC,Directive 2009/81/EC,Prior information notice or a periodic indicative notice used only for information,"Announcement of intentions of planned procurements for information purposes.Contracting authorities may make known their intentions of planned procurements through the publication of a prior information notice. Those notices shall contain the information set out in Annex V part B section I. They shall be published either by the Publications Office of the European Union or by the contracting authorities on their buyer profiles in accordance with point 2(b) of Annex VIII . Where the prior information notice is published by the contracting authorities on their buyer profile, they shall send a notice of the publication on their buyer profile to the Publications Office of the European Union in accordance with Annex VIII. Those notices shall contain the information set out in Annex V part A. [Directive 2014/24/EU]",Prior information notice used only for information — defence directive
Planning,7,"Art. 27(2) of Directive 2014/24/EU, Art. 28(3) of Directive 2014/24/EU",Directive 2014/24/EU,Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders,"Announcement of intentions of planned procurements in view orf shortening time limits for reception of tenders.Where contracting authorities have published a prior information notice which was not itself used as a means of calling for competition, the minimum time limit for the receipt of tenders, as laid down in the second subparagraph of paragraph 1 of this Article, may be shortened to 15 days, [...].",Prior information notice used to shorten time limits for receipt of tenders — general directive
Planning,8,Art. 45(2) of Directive 2014/25/EU,Directive 2014/25/EU,Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders,"Announcement of intentions of planned procurements in view orf shortening time limits for reception of tenders.Where contracting authorities have published a prior information notice which was not itself used as a means of calling for competition, the minimum time limit for the receipt of tenders, as laid down in the second subparagraph of paragraph 1 of this Article, may be shortened to 15 days, [...].",Periodic indicative notice used to shorten time limits for receipt of tenders — sectoral directive
Planning,9,Art. 33(3) of Directive 2009/81/EC,Directive 2009/81/EC,Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders,"Announcement of intentions of planned procurements in view orf shortening time limits for reception of tenders.Where contracting authorities have published a prior information notice which was not itself used as a means of calling for competition, the minimum time limit for the receipt of tenders, as laid down in the second subparagraph of paragraph 1 of this Article, may be shortened to 15 days, [...].",Prior information notice used to shorten time limits for receipt of tenders — defence directive
Competition,10,Art. 48(2) of Directive 2014/24/EU,Directive 2014/24/EU,Prior information notice or a periodic indicative notice used as a call for competition – standard regime,"Announcement of intentions of planned procurements used as a call for competion.For restricted procedures and competitive procedures with negotiation, sub-central contracting authorities may use a prior information notice as a call for competition pursuant to Article 26(5), [...]. [Directive 2014/24/EU]","Prior information notice used as a call for competition — general directive, standard regime"
