eForms code,eForms label,OCDS code,OCDS label
ben-own,Beneficial owner,beneficialOwner,Beneficial owner
buyer,Buyer,buyer,Buyer
cpb-acq,Central purchasing body acquiring supplies and/or services intended for other buyers,centralPurchasingBody,Central purchasing body
cpb-awa,"Central purchasing body awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers",centralPurchasingBody,Central purchasing body
info-emp,Organisation providing information concerning the general regulatory framework for employment protection and working conditions applicable in the place where the contract is to be performed,informationServiceEmployment,Information service (employment)
info-envir,Organisation providing information concerning the general regulatory framework for environmental protection applicable in the place where the contract is to be performed,informationServiceEnvironment,Information service (environment)
info-tax,Organisation providing information concerning the general regulatory framework for taxes applicable in the place where the contract is to be performed,informationServiceTaxes,Information service (taxes)
mediator,Mediation organisation,mediationBody,Mediation body
rev-req,Organisation (or person) requesting review that has or has had an interest in a contract and who has been or risks being harmed by an alleged infringement,reviewRequester,Review requester
reviewer,Review organisation,reviewBody,Review body
serv-prov,Procurement service provider,procurementServiceProvider,Procurement service provider
subcont,Subcontractor,subcontractor,Subcontractor
ted-esen,TED eSender,tedEsender,TED eSender
tenderer,Tenderer,tenderer,Tenderer
winner,Winner,supplier,Supplier
