xpath,index
/@LG,no index
/@CATEGORY,no index
/LEGAL_BASIS,no index
/LEGAL_BASIS_OTHER,no index
/NOTICE,no index
/CONTRACTING_BODY,I
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY,I.1
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME,I.1.1
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NATIONALID,I.1.2
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/ADDRESS,I.1.3
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/TOWN,I.1.4
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NUTS,I.1.5
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/POSTAL_CODE,I.1.6
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/COUNTRY,I.1.7
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/CONTACT_POINT,I.1.8
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/PHONE,I.1.9
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/E_MAIL,I.1.10
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/FAX,I.1.11
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/URL_GENERAL,I.1.12.1
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/URL_BUYER,I.1.12.2
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL,no index
/CONTRACTING_BODY/JOINT_PROCUREMENT_INVOLVED,I.2.1
/CONTRACTING_BODY/PROCUREMENT_LAW,I.2.1.1
/CONTRACTING_BODY/CENTRAL_PURCHASING,I.2.2
/CONTRACTING_BODY/DOCUMENT_FULL,I.3.1
/CONTRACTING_BODY/DOCUMENT_RESTRICTED,I.3.2
/CONTRACTING_BODY/URL_DOCUMENT,no index
/CONTRACTING_BODY/ADDRESS_FURTHER_INFO_IDEM,I.3.3.1
/CONTRACTING_BODY/ADDRESS_FURTHER_INFO,I.3.3.2
/CONTRACTING_BODY/URL_PARTICIPATION,I.3.4.1
/CONTRACTING_BODY/ADDRESS_PARTICIPATION_IDEM,I.3.4.1.1
/CONTRACTING_BODY/ADDRESS_PARTICIPATION,I.3.4.1.2
/CONTRACTING_BODY/URL_TOOL,I.3.5
/CONTRACTING_BODY/CA_TYPE,I.4
/CONTRACTING_BODY/CA_TYPE_OTHER,no index
/CONTRACTING_BODY/CA_ACTIVITY,I.5
/CONTRACTING_BODY/CA_ACTIVITY_OTHER,no index
/OBJECT_CONTRACT,II
/OBJECT_CONTRACT/@ITEM,no index
/OBJECT_CONTRACT/TITLE,II.1.1
/OBJECT_CONTRACT/REFERENCE_NUMBER,II.1.1.1
/OBJECT_CONTRACT/CPV_MAIN,no index
/OBJECT_CONTRACT/CPV_MAIN/CPV_CODE,II.1.2
/OBJECT_CONTRACT/CPV_MAIN/CPV_SUPPLEMENTARY_CODE,II.1.2.1
/OBJECT_CONTRACT/TYPE_CONTRACT,II.1.3
/OBJECT_CONTRACT/SHORT_DESCR,II.1.4
/OBJECT_CONTRACT/VAL_ESTIMATED_TOTAL,II.1.5.1
/OBJECT_CONTRACT/VAL_ESTIMATED_TOTAL/@CURRENCY,II.1.5.2
/OBJECT_CONTRACT/LOT_DIVISION,II.1.6.1
/OBJECT_CONTRACT/NO_LOT_DIVISION,no index
/OBJECT_CONTRACT/LOT_DIVISION/LOT_ALL,II.1.6.2.1
/OBJECT_CONTRACT/LOT_DIVISION/LOT_MAX_NUMBER,II.1.6.2.2
/OBJECT_CONTRACT/LOT_DIVISION/LOT_ONE_ONLY,II.1.6.2.3
/OBJECT_CONTRACT/LOT_DIVISION/LOT_MAX_ONE_TENDERER,II.1.6.3
/OBJECT_CONTRACT/LOT_DIVISION/LOT_COMBINING_CONTRACT_RIGHT,II.1.6.4
/OBJECT_CONTRACT/OBJECT_DESCR,II.2
/OBJECT_CONTRACT/OBJECT_DESCR/@ITEM,no index
/OBJECT_CONTRACT/OBJECT_DESCR/TITLE,II.2.1
/OBJECT_CONTRACT/OBJECT_DESCR/LOT_NO,II.2.1.1
/OBJECT_CONTRACT/OBJECT_DESCR/CPV_ADDITIONAL,II.2.2
/OBJECT_CONTRACT/OBJECT_DESCR/CPV_ADDITIONAL/CPV_CODE,II.2.2.1
/OBJECT_CONTRACT/OBJECT_DESCR/CPV_ADDITIONAL/CPV_SUPPLEMENTARY_CODE,II.2.2.2
/OBJECT_CONTRACT/OBJECT_DESCR/NUTS,II.2.3.1
/OBJECT_CONTRACT/OBJECT_DESCR/MAIN_SITE,II.2.3.2
/OBJECT_CONTRACT/OBJECT_DESCR/SHORT_DESCR,II.2.4
/OBJECT_CONTRACT/OBJECT_DESCR/AC,II.2.5
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_QUALITY,tbd
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_QUALITY/AC_CRITERION,tbd
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_QUALITY/AC_WEIGHTING,tbd
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_COST,tbd
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_PRICE,tbd
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_PRICE/AC_WEIGHTING,tbd
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_PROCUREMENT_DOC,tbd
/OBJECT_CONTRACT/OBJECT_DESCR/VAL_OBJECT,II.2.6.1
/OBJECT_CONTRACT/OBJECT_DESCR/VAL_OBJECT/@CURRENCY,no index
/OBJECT_CONTRACT/OBJECT_DESCR/DURATION,II.2.7
/OBJECT_CONTRACT/OBJECT_DESCR/DATE_START,II.2.7.2
/OBJECT_CONTRACT/OBJECT_DESCR/DATE_END,II.2.7.3
/OBJECT_CONTRACT/OBJECT_DESCR/RENEWAL,II.2.7.4
/OBJECT_CONTRACT/OBJECT_DESCR/RENEWAL_DESCR,II.2.7.5
/OBJECT_CONTRACT/OBJECT_DESCR/ACCEPTED_VARIANTS,II.2.10
/OBJECT_CONTRACT/OBJECT_DESCR/OPTIONS,II.2.11.1
/OBJECT_CONTRACT/OBJECT_DESCR/OPTIONS_DESCR,II.2.11.2
/OBJECT_CONTRACT/OBJECT_DESCR/EU_PROGR_RELATED,II.2.13.1
/OBJECT_CONTRACT/OBJECT_DESCR/NO_EU_PROGR_RELATED,no index
/OBJECT_CONTRACT/OBJECT_DESCR/INFO_ADD,II.2.14
/OBJECT_CONTRACT/DATE_PUBLICATION_NOTICE,II.3
/LEFTI,III
/LEFTI/SUITABILITY,III.1.1
/LEFTI/ECONOMIC_CRITERIA_DOC,no index
/LEFTI/ECONOMIC_FINANCIAL_INFO,III.1.2.1
/LEFTI/ECONOMIC_FINANCIAL_MIN_LEVEL,III.1.2.2
/LEFTI/TECHNICAL_CRITERIA_DOC,no index
