id,eforms_xpath,group,bt,name,notes
1,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efac:ChangedElement/efbc:ChangedSectionIdentifier,root,BT-13716,    Change Previous Section Identifier,
2,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efbc:ChangedNoticeIdentifier,root,BT-758,    Change Notice Version Identifier,
3,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efac:ChangedElement/cbc:ChangeDescription,root,BT-141,    Change Description,
4,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efac:ChangedElement[efbc:ElementOldValue]/efbc:ElementNewValue,root,BT-141,    Change Description,For substitution
5,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efac:ChangedElement[not(efbc:ElementOldValue)]/efbc:ElementNewValue,root,BT-141,    Change Description,For addition
6,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efac:ChangedElement[not(efbc:ElementNewValue)]/efbc:ElementOldValue,root,BT-141,    Change Description,For deletion
7,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efbc:ProcurementDocumentsChangeIndicator,root,BT-718,    Change Procurement Documents,
8,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efbc:ProcurementDocumentsChangeDate,root,BT-719,    Change Procurement Documents Date,
9,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efac:ChangeReason/efbc:ReasonCode,root,BT-140,    Change Reason Code,
10,/*/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:Change/efac:ChangeReason/efbc:ReasonDescription,root,BT-762,    Change Reason Description,
11,/*/cbc:UBLVersionID,root,–,UBL version ID (UBL),
12,/*/cbc:CustomizationID,root,–,Customization ID (UBL),
13,/*/cbc:ID,root,BT-701,Notice Identifier,
14,/*/cbc:ContractFolderID,root,BT-04,Procedure Identifier,
15,/*/cbc:IssueDate,root,BT-05,Notice Dispatch Date,Date component with TZ
16,/*/cbc:IssueTime,root,BT-05,Notice Dispatch Date,Time component with TZ
17,/*/cbc:VersionID,root,BT-757,Notice Version,
18,/*/cbc:RequestedPublicationDate,root,BT-738,Notice Publication Date Preferred,Date (no time & no TZ)
19,/PriorInformationNotice/cbc:PlannedDate,root,BT-127,Future Notice,Date (no time & no TZ)
20,/*/cbc:RegulatoryDomain,root,BT-01,Procedure Legal Basis,For EU directive
21,/*/cbc:NoticeTypeCode/@listName,root,BT-03,Form Type,
22,/*/cbc:NoticeTypeCode,root,BT-02,Notice Type,
23,/*/cbc:NoticeLanguageCode,root,BT-702,Notice Official Language,1st listed Notice (EU) Official language
24,/*/cac:AdditionalNoticeLanguage/cbc:ID,root,BT-702,Notice Official Language,Other listed Notice (EU) Official Languages
25,/*/cac:ContractingParty/cbc:BuyerProfileURI,buyer,BT-508,Buyer Profile URI,
26,/*/cac:ContractingPartyType/cbc:PartyTypeCode[@listName='buyer-legal-type'],buyer,BT-11,Buyer Legal Type,
27,/*/cac:ContractingPartyType/cbc:PartyTypeCode[@listName='buyer-contracting-type''],buyer,BT-740,Buyer Contracting Entity,
28,/*/cac:ContractingPartyType/cac:ContractingActivity/cbc:ActivityTypeCode[@listName=authority-activity'],buyer,BT-10,Activity Authority,
29,/*/cac:ContractingPartyType/cac:ContractingActivity/cbc:ActivityTypeCode[@listName='entity-activity'],buyer,BT-610,Activity Entity,
30,/*/cac:ContractingParty/cac:ContractingRepresentationType/cbc:RepresentationTypeCode,buyer,,Buyer Role,"For : “Central purchasing body acquiring supplies and/or services intended for other buyers” and “Central purchasing body awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers” only."
31,/*/cac:ContractingParty/cac:Party/cbc:WebsiteURI,buyer,BT-505,Internet Address,
32,/*/cac:ContractingParty/cac:Party/cbc:EndpointID,buyer,BT-509,eDelivery Gateway,.
33,/*/cac:ContractingParty/cac:Party/cac:PartyName/cbc:Name,buyer,BT-500,Name,
34,/*/cac:ContractingParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,buyer,BT-501,Identifier,
35,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:Department,buyer,BT-16,Part Name,
36,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:StreetName,buyer,BT-510,Street,
37,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:CityName,buyer,BT-513,City,
38,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:PostalZone,buyer,BT-512,Post Code,
39,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode,buyer,BT-507,Country Subdivision,NUTS3 code
40,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode,buyer,BT-514,Country Code,
41,/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:Name,buyer,BT-502,Contact Point,
42,/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:ElectronicMail,buyer,BT-506,Contact Email Address,
43,/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:Telephone,buyer,BT-503,Contact Telephone Number,
44,/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:Telefax,buyer,BT-739,Contact Fax,
45,/*/cac:ContractingParty/cac:Party/cac:Person,noticeAuthor,,Notice Author,"For Production Purpose in case of Emergency, information shall never be published."
46,/*/cac:ContractingParty/cac:Party/cac:Person/cbc:FirstName,noticeAuthor,,,John
47,/*/cac:ContractingParty/cac:Party/cac:Person/cbc:FamilyName,noticeAuthor,,,Doe
48,/*/cac:ContractingParty/cac:Party/cac:Person/cbc:GenderCode,noticeAuthor,,,Mr
49,/*/cac:ContractingParty/cac:Party/cac:Person/cbc:RoleCode,noticeAuthor,,,Author
50,/*/cac:ContractingParty/cac:Party/cac:Person/cac:Contact/cbc:Telephone,noticeAuthor,,,+ 39 1 23 45 678
51,/*/cac:ContractingParty/cac:Party/cac:Person/cac:Contact/cbc:ElectronicMail,noticeAuthor,,,John.doe@myadministration.xyz
52,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cbc:ServiceTypeCode,procurementServiceProvider,,Provided Service Type,"Ex: Procurement Service Provider, TED eSender …"
53,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:WebsiteURI,procurementServiceProvider,BT-505,Internet Address,
54,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:EndpointID,procurementServiceProvider,BT-509,eDelivery Gateway,.
55,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cbc:IndustryClassificationCode[@listName='legal-person'],procurementServiceProvider,BT-633,Organisation Natural Person,
56,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name,procurementServiceProvider,BT-500,Name,
