xpath,value,label-key,numbers,guidance
/F01_2014/NOTICE/@TYPE,PRI_ONLY,notice_is_prior_info_only,01,
/F01_2014/NOTICE/@TYPE,PRI_REDUCING_TIME_LIMITS,notice_reduces_timelimits,01,
/F01_2014/NOTICE/@TYPE,PRI_CALL_COMPETITION,notice_is_call,01,
/F##_2014/CONTRACTING_BODY/CA_TYPE/@VALUE,MINISTRY,maintype_ministry,01|02|03,Map to 'nationalAuthority'
/F##_2014/CONTRACTING_BODY/CA_TYPE/@VALUE,NATIONAL_AGENCY,maintype_natagency,01|02|03,Map to 'nationalAgency'
/F##_2014/CONTRACTING_BODY/CA_TYPE/@VALUE,REGIONAL_AUTHORITY,maintype_localauth,01|02|03,Map to 'localAuthority'
/F##_2014/CONTRACTING_BODY/CA_TYPE/@VALUE,REGIONAL_AGENCY,maintype_localagency,01|02|03,Map to 'localAgency'
/F##_2014/CONTRACTING_BODY/CA_TYPE/@VALUE,BODY_PUBLIC,maintype_publicbody,01|02|03,Map to 'publicBody'
/F##_2014/CONTRACTING_BODY/CA_TYPE/@VALUE,EU_INSTITUTION,maintype_eu,01|02|03,Map to 'europeanAgency'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,GENERAL_PUBLIC_SERVICES,mainactiv_general,01|02|03,Map to 'generalPublicServices'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,HOUSING_AND_COMMUNITY_AMENITIES,mainactiv_housing,01|02|03,Map to 'housingAndCommunityAmenities'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,DEFENCE,mainactiv_defence,01|02|03,Map to 'defence'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,SOCIAL_PROTECTION,mainactiv_social,01|02|03,Map to 'socialProtection'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,PUBLIC_ORDER_AND_SAFETY,mainactiv_safety,01|02|03,Map to 'publicOrderAndSafety'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,RECREATION_CULTURE_AND_RELIGION,mainactiv_culture,01|02|03,Map to 'recreationCultureAndReligion'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,ENVIRONMENT,mainactiv_environment,01|02|03,Map to 'environmentalProtection'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,EDUCATION,mainactiv_education,01|02|03,Map to 'education'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,ECONOMIC_AND_FINANCIAL_AFFAIRS,mainactiv_economic,01|02|03,Map to 'economicAffairs'
/F##_2014/CONTRACTING_BODY/CA_ACTIVITY/@VALUE,HEALTH,mainactiv_health,01|02|03,Map to 'health'
/F##_2014/OBJECT_CONTRACT/TYPE_CONTRACT/@CTYPE,WORKS,works,01|02|03,Map to 'works'
/F##_2014/OBJECT_CONTRACT/TYPE_CONTRACT/@CTYPE,SUPPLIES,supplies,01|02|03,Map to 'goods'
/F##_2014/OBJECT_CONTRACT/TYPE_CONTRACT/@CTYPE,SERVICES,services,01|02|03,Map to 'services'
/F##_2014/OBJECT_CONTRACT/OBJECT_DESCR/DURATION/@TYPE,MONTH,duration_months,01|02,
/F##_2014/OBJECT_CONTRACT/OBJECT_DESCR/DURATION/@TYPE,DAY,indays,01|02,
