,xpath,label-key,comment,guidance,index
0,/CONTRACT_DEFENCE/@LG,,,,
1,/CONTRACT_DEFENCE/@CATEGORY,,,,
2,/CONTRACT_DEFENCE/@VERSION,,,,
3,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE,,,,
4,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE,,,,
5,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT,,,,
6,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE,,,,
7,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/ORGANISATION,,,,
8,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/ORGANISATION/OFFICIALNAME,,,,
9,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/ORGANISATION/NATIONALID,,,,
10,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/ADDRESS,,,,
11,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/TOWN,,,,
12,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/POSTAL_CODE,,,,
13,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/COUNTRY,,,,
14,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/CONTACT_POINT,,,,
15,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/ATTENTION,,,,
16,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/PHONE,,,,
17,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/E_MAILS,,,,
18,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/E_MAILS/E_MAIL,,,,
19,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/CA_CE_CONCESSIONAIRE_PROFILE/FAX,,,,
20,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/INTERNET_ADDRESSES_CONTRACT,,,,
21,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/INTERNET_ADDRESSES_CONTRACT/URL_GENERAL,,,,
22,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/INTERNET_ADDRESSES_CONTRACT/URL_BUYER,,,,
23,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/INTERNET_ADDRESSES_CONTRACT/URL_INFORMATION,,,,
24,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/INTERNET_ADDRESSES_CONTRACT/URL_PARTICIPATE,,,,
25,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION,,,,
26,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/IDEM,,,,
27,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA,,,,
28,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/ORGANISATION,,,,
29,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/ORGANISATION/OFFICIALNAME,,,,
30,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/ORGANISATION/NATIONALID,,,,
31,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/ADDRESS,,,,
32,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/TOWN,,,,
33,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/POSTAL_CODE,,,,
34,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/COUNTRY,,,,
35,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/CONTACT_POINT,,,,
36,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/ATTENTION,,,,
37,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/PHONE,,,,
38,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/E_MAILS,,,,
39,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/FAX,,,,
40,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/FURTHER_INFORMATION/CONTACT_DATA/URL,,,,
41,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/SPECIFICATIONS_AND_ADDITIONAL_DOCUMENTS,,,,
42,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/SPECIFICATIONS_AND_ADDITIONAL_DOCUMENTS/IDEM,,,,
43,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/SPECIFICATIONS_AND_ADDITIONAL_DOCUMENTS/CONTACT_DATA,,,,
44,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/TENDERS_REQUESTS_APPLICATIONS_MUST_BE_SENT_TO,,,,
45,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/TENDERS_REQUESTS_APPLICATIONS_MUST_BE_SENT_TO/IDEM,,,,
46,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT/TENDERS_REQUESTS_APPLICATIONS_MUST_BE_SENT_TO/CONTACT_DATA,,,,
47,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF,,,,
48,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES,,,,
49,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_CONTRACTING_AUTHORITY,,,,
50,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_CONTRACTING_AUTHORITY_OTHER,,,,
51,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_ACTIVITY,,,,
52,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_ACTIVITY_OTHER,,,,
53,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/ACTIVITIES_OF_CONTRACTING_ENTITY,,,,
54,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/ACTIVITIES_OF_CONTRACTING_ENTITY/ACTIVITY_OF_CONTRACTING_ENTITY,,,,
55,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/ACTIVITIES_OF_CONTRACTING_ENTITY/ACTIVITY_OF_CONTRACTING_ENTITY_OTHER,,,,
56,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF,,,,
57,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES,,,,
58,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY,,,,
59,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ORGANISATION,,,,
60,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ORGANISATION/OFFICIALNAME,,,,
61,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ORGANISATION/NATIONALID,,,,
62,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ADDRESS,,,,
63,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/TOWN,,,,
64,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/POSTAL_CODE,,,,
65,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/COUNTRY,,,,
66,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_NO,,,,
67,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE,,,,
68,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE,,,,
69,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TITLE_CONTRACT,,,,
70,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE,,,,
71,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE/TYPE_CONTRACT,,,,
72,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE/TYPE_WORK_CONTRACT,,,,
73,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE/TYPE_WORK_CONTRACT/DESIGN_EXECUTION,,,,
74,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE/TYPE_WORK_CONTRACT/EXECUTION,,,,
75,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE/TYPE_WORK_CONTRACT/REALISATION_REQUIREMENTS_SPECIFIED_CONTRACTING_AUTHORITIES,,,,
76,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE/TYPE_SUPPLIES_CONTRACT,,,,
77,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/TYPE_CONTRACT_DEFENCE/SERVICE_CATEGORY_DEFENCE,,,,
78,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/LOCATION_NUTS,,,,
79,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/LOCATION_NUTS/LOCATION,,,,
80,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/LOCATION_NUTS/NUTS,,,,
81,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/NOTICE_INVOLVES_DEFENCE,,,,
82,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/F17_FRAMEWORK,,,,
83,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/F17_FRAMEWORK/SINGLE_OPERATOR,,,,
84,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/F17_FRAMEWORK/SEVERAL_OPERATORS,,,,
85,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/F17_FRAMEWORK/SEVERAL_OPERATORS/NUMBER_PARTICIPANTS,,,,
86,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/F17_FRAMEWORK/SEVERAL_OPERATORS/MAX_NUMBER_PARTICIPANTS,,,,
87,/CONTRACT_DEFENCE/FD_CONTRACT_DEFENCE/OBJECT_CONTRACT_INFORMATION_DEFENCE/DESCRIPTION_CONTRACT_INFORMATION_DEFENCE/F17_FRAMEWORK/DURATION_FRAMEWORK_YEAR,,,,
