,xpath,label-key,index,guidance,file
0,/@LG,,no index,"Lowercase, and map to `language`",F24_2014.csv
1,/@CATEGORY,,no index,Discard. TED translates at form-level. OCDS translates at field-level.,F24_2014.csv
2,/LEGAL_BASIS,,no index,"Set `tender.legalBasis.scheme` to ['CELEX'](https://eur-lex.europa.eu/content/help/faq/intro.html#help8), and map to `tender.legalBasis.id`",F24_2014.csv
3,/LEGAL_BASIS_OTHER,,no index,"Set `tender.legalBasis.scheme` to 'CELEX', and map to `tender.legalBasis.id`",F24_2014.csv
4,/CONTRACTING_BODY,ca_ce,I,,F24_2014.csv
5,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY,name_address_contact,I.1,"[Add a party](../../operations/#add-a-party), and add 'buyer' to its `.roles`\n\nSet `buyer.id` to its `.id`, and set `buyer.name` to its [`.name`](#/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME)",F24_2014.csv
6,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME,name_official,I.1.1,Map to the party's `.name` and `.identifier.legalName`,F24_2014.csv
7,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NATIONALID,national_id,I.1.2,"Map to the party's `.identifier.id`, and [set `.identifier.scheme`](https://standard.open-contracting.org/1.1/en/schema/identifiers/#organization-ids)",F24_2014.csv
8,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/ADDRESS,address_postal,I.1.3,Map to the party's `.address.streetAddress`,F24_2014.csv
9,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/TOWN,address_town,I.1.4,Map to the party's `.address.locality`,F24_2014.csv
10,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NUTS,nutscode,I.1.5,"Take the NUTS code in the `CODE` attribute, and map to the party's `.address.region`\n\nThere's an open issue ([#739](https://github.com/open-contracting/standard/issues/739)) about region codes. (ISSUE)",F24_2014.csv
11,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/POSTAL_CODE,address_postcode,I.1.6,Map to the party's `.address.postalCode`,F24_2014.csv
12,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/COUNTRY,address_country,I.1.7,"Take the country code in the `VALUE` attribute, translate to a country name, and map to the party's `.address.countryName`\n\nThere's an open issue ([#524](https://github.com/open-contracting/standard/issues/524)) to add a `.countryCode` field to the `Address` object, to avoid translation. (ISSUE)",F24_2014.csv
13,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/CONTACT_POINT,contactpoint,I.1.8,Map to the party's `.contactPoint.name`,F24_2014.csv
14,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/PHONE,address_phone,I.1.9,Map to the party's `.contactPoint.telephone`,F24_2014.csv
15,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/E_MAIL,address_email,I.1.10,Map to the party's `.contactPoint.email`,F24_2014.csv
16,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/FAX,address_fax,I.1.11,Map to the party's `.contactPoint.faxNumber`,F24_2014.csv
