Label,Set,Comment,EN,FR,DE,BG,CS,DA,EL,ES,ET,FI,GA,HR,HU,IT,LT,LV,MT,NL,PL,PT,RO,SK,SL,SV,bb,cc,dd
_and,,,and,et,und,и,a,og,και,y,ja,ja,agus,i,és,e,ir,un,u,en,oraz,e,și,a,in,och,,,
_no,,,no,non,nein,не,ne,nej,όχι,no,ei,ei,níl,ne,nem,no,ne,nē,le,neen,nie,não,nu,nie,ne,nej,,,
_or,,,or,ou,oder,или,nebo,eller,ή,o,või,tai,nó,ili,vagy,oppure,arba,vai,jew,of,albo,ou,sau,alebo,ali,eller,,,
_yes,,,yes,oui,ja,да,ano,ja,ναι,sí,jah,kyllä,tá,da,igen,sì,taip,jā,iva,ja,tak,sim,da,áno,da,ja,,,
address_another,,,another address,autre adresse,folgende Kontaktstelle,друг адрес,na jiné adrese,anden adresse,άλλη διεύθυνση,otra dirección,muul aadressil,toinen osoite,seoladh eile,na drugoj adresi,másik cím,altro indirizzo,kitu adresu,citā adresē,indirizz ieħor,een ander adres,następującym adresem,outro endereço,o altă adresă,inej adrese,drugem naslovu,annan adress,,,
address_country,,,Country,Pays,Land,Държава,Země,Land,Χώρα,País,Riik,Maa,Tír,Država,Ország,Paese,Šalis,Valsts,Pajjiż,Land,Państwo,País,Țară,Štát,Država,Land,,,
address_email,,,E-mail,Courriel,E-Mail,Електронна поща,E-mail,E-mail,Ηλεκτρονικό ταχυδρομείο,Correo electrónico,E-post,Sähköpostiosoite,Ríomhphost,E-pošta,E-mail,E-mail,El. paštas,E-pasts,Posta elettronika,E-mail,E-mail,Correio eletrónico,E-mail,E-mail,E-naslov,E-post,,,
address_fax,,,Fax,Fax,Fax,Факс,Fax,Fax,Φαξ,Fax,Faks,Faksi,Facs,Telefaks,Fax,Fax,Faksas,Fakss,Faks,Fax,Faks,Fax,Fax,Fax,Telefaks,Fax,,,
address_following,,,to the following address,à l'adresse suivante,an folgende Anschrift,до следния адрес,na následující adresu,til følgende adresse,στην ακόλουθη διεύθυνση,a la siguiente dirección,järgmisel aadressil,seuraavaan osoitteeseen,chuig an seoladh a leanas,na sljedeću adresu,a következő címre,al seguente indirizzo,šiuo adresu,uz šādu adresi,fl-indirizz li ġej,het volgende adres,na następujący adres,o seguinte endereço,la următoarea adresă,na nasledujúcej adrese,na naslednji naslov,till följande adress,,,
address_furtherinfo,,,Additional information can be obtained from,Adresse à laquelle des informations complémentaires peuvent être obtenues,Weitere Auskünfte erteilen/erteilt,Допълнителна информация може да бъде получена от,Další informace lze získat,Yderligere oplysninger fås på,Περαιτέρω πληροφορίες είναι διαθέσιμες από,Puede obtenerse más información en,Lisateavet saab,Lisätietoja saa,Is féidir tuilleadh faisnéise a fháil ó,Dodatne informacije dostupne su,További információ a következő címen szerezhető be,Ulteriori informazioni sono disponibili presso,Daugiau informacijos galima gauti,Papildu informāciju var saņemt,Aktar informazzjoni tista’ tinkiseb minn,Nadere inlichtingen zijn te verkrijgen op,Więcej informacji można uzyskać pod,"Para obter mais informações, consultar",Informaţii suplimentare pot fi obţinute de la,Ďalšie informácie možno získať na,Dodatne informacije lahko dobite na,Ytterligare upplysningar kan erhållas från,,,
address_legal_control,MOVE,,Name and address of the party or parties exercising legal control over the selected operator,Nom et adresse de l'organe ou des organes de contrôle légal de l'opérateur sélectionné,"Name und Anschrift der Partei oder Parteien, die rechtliche Kontrolle über den gewählten Betreiber ausüben","Име и адрес на страната или страните, упражняващи юридически контрол върху избрания оператор",Název a adresa osoby nebo osob vykonávajících právní kontrolu nad vybraným provozovatelem,"Navn og adresse på den/de part(er), der udøver kontrol over den valgte operatør",Όνομα και διεύθυνση του οργανισμού ή των οργανισμών που ασκούν νομικό έλεγχο επί του επιλεγμένου φορέα,Nombre y dirección de la(s) parte(es) que ejerce(n) un control jurídico sobre el operador seleccionado,Valitud ettevõtja juriidilist kontrolli teostava(te) osapool(t)e nimi või nimed,Oikeudellista valvontaa valitun toimijan osalta harjoittavan osapuolen nimi ja osoite,Ainm agus seoladh an pháirtí nó na bpáirtithe a fheidhmíonn rialú dlíthiúil ar an oibreoir roghnaithe,Naziv i adresa stranke ili stranaka koji provode pravni nadzor nad izabranim subjektom,A kiválasztott szolgáltató felett jogi ellenőrzést gyakorló személy vagy személyek neve és címe,Nome e indirizzo della parte o delle parti che esercitano il controllo legale sull'operatore selezionato,"Šalies (-ių), vykdančios (-ių) teisinę atrinkto vykdytojo kontrolę, pavadinimas ir adresas","Personas vai personu, kam ir juridiskā kontrole pār atlasīto pakalpojumu sniedzēju, nosaukums un adrese",L-isem u l-indirizz tal-entità jew l-entitajiet li jeżerċitaw kontroll legali fuq l-operatur magħżul,Naam en adres van de partij of partijen die in juridische zin de zeggenschap hebben over de geselecteerde exploitant,Nazwa i adres podmiotu lub podmiotów sprawujących kontrolę prawną nad wybranym podmiotem,Nome e endereço da(s) parte(s) que exercem controlo jurídico sobre o operador seleccionado,Numele şi adresa părţii sau ale părţilor care exercită control juridic asupra operatorului selectat,Názov a adresa subjektu alebo subjektov vykonávajúcich zákonnú kontrolu nad vybraným poskytovateľom,"Ime in naslov stranke ali strank, ki izvajajo pravni nadzor nad izbranim izvajalcem",Namn på och adress till den part eller parter som utövar rättslig kontroll över det utvalda företaget,,,
address_obtain_docs,,,"The procurement documents are available for unrestricted and full direct access, free of charge, at","Les documents du marché sont disponibles gratuitement en accès direct non restreint et complet, à l'adresse",Die Auftragsunterlagen stehen für einen uneingeschränkten und vollständigen direkten Zugang gebührenfrei zur Verfügung unter,Документацията за обществената поръчка е достъпна за неограничен и пълен пряк безплатен достъп на,Zadávací dokumentace je dostupná přímo a zcela bez omezení či poplatků na,"Udbudsmaterialet er gratis, ubegrænset og fuldt tilgængeligt på","Τα έγγραφα της σύμβασης είναι διαθέσιμα για απεριόριστη, πλήρη, άμεση και δωρεάν πρόσβαση στη διεύθυνση","Acceso libre, directo, completo y gratuito a los pliegos de la contratación, en",Hankedokumendid on kättesaadavad (tasuta piiramatu ja täielik juurdepääs) aadressil,"Hankinta-asiakirjat ovat suoraan saatavilla täydellisinä, rajoituksetta ja maksutta osoitteesta","Tá na doiciméid soláthair ar fáil ionas gur féidir rochtain dhíreach lán gan srianadh, saor in aisce a fháil orthu ag",Dokumentacija o nabavi dostupna je besplatno i može joj se u potpunosti pristupiti izravno i neograničeno na,"A közbeszerzési dokumentáció korlátozás nélkül, teljes körűen, közvetlenül és díjmentesen elérhető a következő címen","I documenti di gara sono disponibili per un accesso gratuito, illimitato e diretto presso","Neribota, visapusiška tiesioginė ir nemokama prieiga prie pirkimo dokumentų suteikiama","Tieša, neierobežota, bezmaksas piekļuve iepirkuma dokumentiem pilnā apmērā ","Id-dokumenti tal-akkwist huma disponibbli għal aċċess mingħajr restrizzjoni u dirett sħiħ, mingħajr ħlas, fuq","De aanbestedingsstukken zijn rechtstreeks, volledig, onbeperkt en gratis beschikbaar op","Nieograniczony, pełny i bezpośredni dostęp do dokumentów zamówienia można uzyskać bezpłatnie pod adresem","Os documentos do concurso estão disponíveis gratuitamente para acesso direto, completo e ilimitado em","Documentele de achiziţii publice sunt disponibile pentru acces direct, nerestricţionat, complet si gratuit la",Súťažné dokumenty sú dostupné priamo a úplne bez obmedzení či poplatkov na,Razpisna dokumentacija je na voljo brezplačno za neomejen in celovit neposredni dostop na,"Upphandlingsdokumenten finns tillgängliga för obegränsad, fullständig och direkt tillgång kostnadsfritt på",,,
address_phone,,,Telephone,Téléphone,Telefon,Телефон,Tel.,Telefon,Τηλέφωνο,Teléfono,Telefon,Puhelin,Guthán,Telefon,Telefon,Tel.,Telefonas,Tālrunis,Telefown,Telefoon,Tel.,Telefone,Telefon,Telefón,Telefon,Telefon,,,
address_postal,,,Postal address,Adresse postale,Postanschrift,Пощенски адрес,Poštovní adresa,Postadresse,Ταχ. διεύθυνση,Dirección postal,Postiaadress,Postiosoite,Seoladh poist,Poštanska adresa,Postai cím,Indirizzo postale,Adresas,Pasta adrese,Indirizz postali,Postadres,Adres pocztowy,Endereço postal,Adresă,Poštová adresa,Poštni naslov,Postadress,,,
address_postcode,,,Postal code,Code postal,Postleitzahl,Пощенски код,PSČ,Postnummer,Ταχ. κωδικός,Código postal,Sihtnumber,Postinumero,Cód poist,Poštanski broj,Postai irányítószám,Codice postale,Pašto kodas,Pasta indekss,Kodiċi postali,Postcode,Kod pocztowy,Código postal,Cod poștal,PSČ,Poštna številka,Postnummer,,,
